episode,count
01x01 - Pilot,4
01x02 - The Tagger,0
01x03 - The Slump,3
01x04 - M.E. Time,3
01x05 - The Vulture,1
01x06 - Halloween,1
01x07 - 48 Hours,2
01x08 - Old School,3
01x09 - Sal's Pizza,2
01x10 - Thanksgiving,5
01x11 - Christmas,2
01x12 - Pontiac Bandit,2
01x13 - The Bet,0
01x14 - The Ebony Falcon,3
01x15 - Operation Broken Feather,2
01x16 - The Party,1
01x17 - Full Boyle,0
01x18 - The Apartment,6
01x19 - Tactical Village,11
01x20 - Fancy Brudgom,3
01x21 - Unsolvable,3
01x22 - Charges and Specs,3
02x01 - Undercover,0
02x02 - Chocolate Milk,2
02x03 - The Jimmy Jab Games,9
02x04 - Halloween II,5
02x05 - The Mole,2
02x06 - Jake and Sophia,6
02x07 - Lockdown,0
02x08 - USPIS,5
02x09 - The Road Trip,4
02x10 - The Pontiac Bandit Returns,7
02x11 - Stakeout,-1
02x12 - Beach House,3
02x13 - Payback,0
02x14 - Defense Rests,1
02x15 - Hostages,6
02x16 - The Wednesday Incident,10
02x17 - Boyle-Linetti Wedding,0
02x18 - Captain Peralta,6
02x19 - Sabotage,3
02x20 - AC-DC,5
02x21 - Det. Dave Majors,9
02x22 - The Chopper,4
02x23 - Johnny and Dora,2
03x01 - New Captain,11
03x02 - The Funeral,2
03x03 - Boyle's Hunch,2
03x04 - The Oolong Slayer,4
03x05 - Halloween - Part III,3
03x06 - Into the Woods,5
03x07 - The Mattress,3
03x08 - Ava,3
03x09 - The Swedes,8
03x10 - Yippie Kayak,2
03x11 - Hostage Situation,1
03x12 - 9 Days,-1
03x13 - The Cruise,3
03x14 - Karen Peralta,3
03x15 - The 98,5
03x16 - House Mouses,3
03x17 - Adrian Pimento,7
03x18 - Cheddar,5
03x19 - Terry Kitties,2
03x20 - Paranoia,11
03x21 - Maximum Security,6
03x22 - The Bureau,3
03x23 - Greg and Larry,5
04x01 - Coral Palms Pt.1,1
04x02 - Coral Palms Pt. 2,6
04x03 - Coral Palms Pt. 3,3
04x04 - The Night Shift,14
04x05 - Halloween IV,2
04x06 - Monster in the Closet,3
04x07 - Mr. Santiago,3
04x08 - Skyfire Cycle,5
04x09 - The Overmining,1
04x10 - Captain Latvia,3
04x11-12 - The Fugitive,15
04x13 - The Audit,2
04x14 - Serve & Protect,3
04x15 - The Last Ride,9
04x16 - Moo Moo,5
04x17 - Cop-Con,6
04x18 - Chasing Amy,1
04x19 - Your Honor,6
04x20 - The Slaughterhouse,4
04x21 - The Bank Job,1
04x22 - Crime & Punishment,-1
05x01 - The Big House Pt. 1,10
05x02 - The Big House PT. 2,3
05x03 - Kicks,6
05x04 - Halloveen,4
05x05 - Bad Beat,4
05x06 - The Venue,2
05x07 - Two Turkeys,2
05x08 - Return to Skyfire,5
05x09 - 99,5
05x10 - Game Night,3
05x11 - The Favor,4
05x12 - Safe House,4
05x13 - The Negotiation,4
05x14 - The Box,1
05x15 - The Puzzle Master,6
05x16 - Nutriboom,2
05x17 - DFW,2
05x18 - Gray Star Mutual,1
05x19 - Bachelor-ette Party,0
05x20 - Show Me Going,12
05x21 - White Whale,3
05x22 - Jake & Amy,3
06x01 - Honeymoon,4
06x02 - Hitchcock & Scully,5
06x03 - The Tattler,10
06x04 - Four Movements,7
06x05 - A Tale of Two Bandits,2
06x06 - The Crime Scene,12
06x07 - The Honeypot,-1
"06x08 - He Said, She Said",1
06x09 - The Golden Child,1
06x10 - Gintars,-1
06x11 - The Therapist,6
06x12 - Casecation,16
06x13 - The Bimbo,5
06x14 - Ticking Clocks,0
06x15 - Return of the King,2
06x16 - Cinco De Mayo,2
06x17 - Sicko,5
06x18 - Suicide Squad,7
07x01 - Manhunter,3
07x02 - Captain Kim,10
07x03 - Pimemento,3
07x04 - The Jimmy Jab Games II,2
07x05 - Debbie,13
07x06 - Trying,0
07x07 - Ding Dong,0
07x08 - The Takeback,4
07x09 - Dillman,2
07x10 - Admiral Peralta,3
07x11 - Valloweaster,3
07x12 - Ransom,11
07x13 - Lights Out,3
