episode,count
S01E01 - Pilot,4
S01E02 - The Tagger,0
S01E03 - The Slump,3
S01E04 - M.E. Time,3
S01E05 - The Vulture,1
S01E06 - Halloween,1
S01E07 - 48 Hours,2
S01E08 - Old School,3
S01E09 - Sal's Pizza,2
S01E10 - Thanksgiving,5
S01E11 - Christmas,2
S01E12 - Pontiac Bandit,2
S01E13 - The Bet,0
S01E14 - The Ebony Falcon,3
S01E15 - Operation Broken Feather,2
S01E16 - The Party,1
S01E17 - Full Boyle,0
S01E18 - The Apartment,6
S01E19 - Tactical Village,11
S01E20 - Fancy Brudgom,3
S01E21 - Unsolvable,3
S01E22 - Charges and Specs,3
S02E01 - Undercover,0
S02E02 - Chocolate Milk,2
S02E03 - The Jimmy Jab Games,9
S02E04 - Halloween II,5
S02E05 - The Mole,2
S02E06 - Jake and Sophia,6
S02E07 - Lockdown,0
S02E08 - USPIS,5
S02E09 - The Road Trip,4
S02E10 - The Pontiac Bandit Returns,7
S02E11 - Stakeout,-1
S02E12 - Beach House,3
S02E13 - Payback,0
S02E14 - Defense Rests,1
S02E15 - Hostages,6
S02E16 - The Wednesday Incident,10
S02E17 - Boyle-Linetti Wedding,0
S02E18 - Captain Peralta,6
S02E19 - Sabotage,3
S02E20 - AC-DC,5
S02E21 - Det. Dave Majors,9
S02E22 - The Chopper,4
S02E23 - Johnny and Dora,2
S03E01 - New Captain,11
S03E02 - The Funeral,2
S03E03 - Boyle's Hunch,2
S03E04 - The Oolong Slayer,4
S03E05 - Halloween - Part III,3
S03E06 - Into the Woods,5
S03E07 - The Mattress,3
S03E08 - Ava,3
S03E09 - The Swedes,8
S03E10 - Yippie Kayak,2
S03E11 - Hostage Situation,1
S03E12 - 9 Days,-1
S03E13 - The Cruise,3
S03E14 - Karen Peralta,3
S03E15 - The 98,5
S03E16 - House Mouses,3
S03E17 - Adrian Pimento,7
S03E18 - Cheddar,5
S03E19 - Terry Kitties,2
S03E20 - Paranoia,11
S03E21 - Maximum Security,6
S03E22 - The Bureau,3
S03E23 - Greg and Larry,5
S04E01 - Coral Palms Pt.1,1
S04E02 - Coral Palms Pt. 2,6
S04E03 - Coral Palms Pt. 3,3
S04E04 - The Night Shift,14
S04E05 - Halloween IV,2
S04E06 - Monster in the Closet,3
S04E07 - Mr. Santiago,3
S04E08 - Skyfire Cycle,5
S04E09 - The Overmining,1
S04E10 - Captain Latvia,3
S04E11-12 - The Fugitive,15
S04E13 - The Audit,2
S04E14 - Serve & Protect,3
S04E15 - The Last Ride,9
S04E16 - Moo Moo,5
S04E17 - Cop-Con,6
S04E18 - Chasing Amy,1
S04E19 - Your Honor,6
S04E20 - The Slaughterhouse,4
S04E21 - The Bank Job,1
S04E22 - Crime & Punishment,-1
S05E01 - The Big House Pt. 1,10
S05E02 - The Big House PT. 2,3
S05E03 - Kicks,6
S05E04 - Halloveen,4
S05E05 - Bad Beat,4
S05E06 - The Venue,2
S05E07 - Two Turkeys,2
S05E08 - Return to Skyfire,5
S05E09 - 99,5
S05E10 - Game Night,3
S05E11 - The Favor,4
S05E12 - Safe House,4
S05E13 - The Negotiation,4
S05E14 - The Box,1
S05E15 - The Puzzle Master,6
S05E16 - Nutriboom,2
S05E17 - DFW,2
S05E18 - Gray Star Mutual,1
S05E19 - Bachelor-ette Party,0
S05E20 - Show Me Going,12
S05E21 - White Whale,3
S05E22 - Jake & Amy,3
S06E01 - Honeymoon,4
S06E02 - Hitchcock & Scully,5
S06E03 - The Tattler,10
S06E04 - Four Movements,7
S06E05 - A Tale of Two Bandits,2
S06E06 - The Crime Scene,12
S06E07 - The Honeypot,6
"06x08 - He Said, She Said",1
S06E09 - The Golden Child,1
S06E10 - Gintars,-1
S06E11 - The Therapist,6
S06E12 - Casecation,16
S06E13 - The Bimbo,5
S06E14 - Ticking Clocks,0
S06E15 - Return of the King,2
S06E16 - Cinco De Mayo,2
S06E17 - Sicko,5
S06E18 - Suicide Squad,7
S07E01 - Manhunter,3
S07E02 - Captain Kim,10
S07E03 - Pimemento,3
S07E04 - The Jimmy Jab Games II,2
S07E05 - Debbie,13
S07E06 - Trying,0
S07E07 - Ding Dong,0
S07E08 - The Takeback,4
S07E09 - Dillman,2
S07E10 - Admiral Peralta,3
S07E11 - Valloweaster,3
S07E12 - Ransom,11
S07E13 - Lights Out,3
