id,season,episode,who,line,type,length
1,02,02,Wuntch,"Hello, Raymond.",,2
1,02,02,Holt,Captain Wuntch. Good to see you.,,6
1,02,02,Holt,"But if you're here, who's guarding Hades?",insult,7
1,02,02,Wuntch,It's deputy chief Wuntch now. ,,5
1,02,02,Wuntch,"Unsurprisingly, I've been promoted above you. And now I'm here to evaluate you.",insult,13
1,02,02,Holt,What happened to Brandt?,,
2,02,02,Wuntch,"Spot-checks are done. Needless to say, I'm thoroughly underwhelmed.",,9
2,02,02,Holt,"Huh. From your expression, I would've guessed constipated or chilly.",insult,10
2,02,02,Amy,"Excuse me, captain.",,3
3,02,03,Holt,"Street name, giggle pig.",,4
3,02,03,Wuntch,"Hmm, an embarrassing blight growing right under your nose.",,9
3,02,03,Wuntch,Not unlike that moustache you had when we first met.,insult,10
3,02,03,Holt,That moustache was era-appropriate.,,4
4,02,05,Jake,"I would give you more details, but someone just came in to try and find her dalmatian coat.",,18
4,02,05,Wuntch,"Hello, Raymond.",,2
4,02,05,Holt,Madeline.,,1
4,02,05,Holt,I wondered why all the birds had suddenly stopped singing.,insult,10
4,02,05,Holt,What brings you here?,,4
4,02,05,Wuntch,I heard you were under investigation by lnternal Affairs..,,9
4,02,05,Wuntch,Didn't wanna miss that.,insult,4
4,02,05,Holt,So much time with your ear to the pavement. It's a pity a truck hasn't run over your head.,insult,19
4,02,05,Wuntch,Very visual.,,2
4,02,05,Wuntch,"When, oh when, will you quit police work and pursue your dream of poetry?",insult,14
4,02,05,,...,,0
5,02,05,Wuntch,"Oh, Raymond.",,2
5,02,05,Wuntch,An lnternal Affairs investigation? A drug task force that hasn't found any drugs? This precinct's a disaster.,insult,17
5,02,05,Wuntch,Maybe that's why the birds stopped singing. Out of respect for the death of your career.,insult,24
5,02,05,Wuntch,"Good-bye, Raymond.",,2
6,02,05,Jake,"Oh, is that a fact?",,5
6,02,05,Jake,"Because I heard you call deputy chief Wuntch by her first name and after that, you told her you hoped she got carried off by crows.",insult,26
6,02,05,Jake,"That is gross insubordination.",,4
7,02,05,Holt,You're going to leave my precinct and my task force alone. Or else...You're...,,13
7,02,05,Holt,Wuntch meat.,insult,2
7,02,05,Jake,You're sure you wanna go with that one?,,8
8,02,11,Wuntch,Raymond.,,1
8,02,11,Holt,Madeline.,,1
8,02,11,Wuntch,"You won. Go ahead and gloat, you toad.",insult,8
8,02,11,Holt,"Thank you for this honor, deputy chief.",,7
8,02,11,Wuntch,Oh. Okay. You're welcome.,,4
8,02,11,Holt,Wuntch-time is over. Boom! Did it!,insult,6
8,02,11,Holt,Had it both ways.,,4
9,02,14,Holt,"Oh, please stay, Diaz.",,4
9,02,14,Holt,I need a witness in case her head starts spinning around or if she turns into a she-wolf.,insult,18
9,02,14,Wuntch,"Hello, Raymond.",,2
9,02,14,Holt,No flaccid rejoinder? Hmm. What's going on?,,7
9,02,14,Wuntch,I'm here on important business. I'm a frontrunner for a job in the Boston PD.,,15
9,02,14,Holt,"Boston? But it's so close to Salem. You do know what they do to witches up there, don't you?",insult,19
9,02,14,Wuntch,The job is Chief of Police.,,6
9,02,14,Holt,I see. So you've come to brag.,,7
10,02,14,Holt,Just saying it brims my soul with joy.,,8
10,02,14,Holt,But to do so would mean would mean that she stays here in New York City hanging over me like an albino bat.,insult,23
10,02,14,Holt,"On the other hand, if I ""praise"" Wuntch, she will leave this city, the clouds will part, and the children will sing ""Wuntch is gone.""",insult,25
10,02,14,rosa,What children?,,2
10,02,14,Holt,All the children.,insult,3
10,02,14,Rosa,Right. That was a stupid question.,,6
11,02,22,Jake,I meant we have to fight her.,,7
11,02,22,Holt,We're not gonna fight her. She's the devil.,insult,8
